id,label,type,layer
REQ_9_1_1,"9.1.1 Seguimiento, medición, análisis y evaluación",Requirement,Harmonized Core
MOD_Performance_Tracker,Performance Tracker,Module,Harmonized Core
AG_Performance_Intelligence_Agent,Performance Intelligence Agent,Agent,Agent Runtime
REQ_9_1_2,9.1.2 Satisfacción del cliente,Requirement,Harmonized Core
REQ_9_1_3,9.1.3 Análisis y evaluación,Requirement,Harmonized Core
REQ_9_2_1,9.2.1 Auditoría interna - generalidades,Requirement,Harmonized Core
MOD_Audit_Engine,Audit Engine,Module,Harmonized Core
AG_Autonomous_Audit_Orchestrator,Autonomous Audit Orchestrator,Agent,Agent Runtime
REQ_9_2_2,9.2.2 Programa de auditoría interna,Requirement,Harmonized Core
REQ_9_3_1,9.3.1 Revisión por la dirección - generalidades,Requirement,Harmonized Core
MOD_Executive_Review,Executive Review,Module,Harmonized Core
AG_Executive_Insight_Agent,Executive Insight Agent,Agent,Agent Runtime
REQ_9_3_2,9.3.2 Entradas de revisión por la dirección,Requirement,Harmonized Core
REQ_9_3_3,9.3.3 Resultados de revisión por la dirección,Requirement,Harmonized Core
REQ_10_1,10.1 Mejora continua,Requirement,Harmonized Core
MOD_Opportunity_Engine,Opportunity Engine,Module,Harmonized Core
AG_Continuous_Improvement_Agent,Continuous Improvement Agent,Agent,Agent Runtime
REQ_10_2_1,10.2.1 No conformidad y acción correctiva,Requirement,Harmonized Core
MOD_Corrective_Tracker,Corrective Tracker,Module,Harmonized Core
AG_Corrective_Action_Orchestrator,Corrective Action Orchestrator,Agent,Agent Runtime
REQ_10_2_2,10.2.2 Evidencia de acción correctiva,Requirement,Harmonized Core
