source,target,relationship,label
STD_ISO_10018_2020,REQ_5_3,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_5_3,INFORMS,Knowledge Layer
STD_ISO_IEC_38507_2022,REQ_5_3,INFORMS,Knowledge Layer
L1,REQ_6_1_1,CONTAINS,CONTAINS
REQ_6_1_1,MOD_Risk_Engine,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Risk_Engine,AG_Predictive_Risk_Orchestrator,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_6_1_1,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_6_1_1,INFORMS,Knowledge Layer
STD_ISO_DIS_9002,REQ_6_1_1,INFORMS,Knowledge Layer
STD_ISO_10009_2024,REQ_6_1_1,INFORMS,Knowledge Layer
STD_ISO_10017_2021,REQ_6_1_1,INFORMS,Knowledge Layer
STD_ISO_31000_2018,REQ_6_1_1,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_6_1_1,INFORMS,Knowledge Layer
STD_ISO_IEC_42005_2025,REQ_6_1_1,INFORMS,Knowledge Layer
STD_ISO_IEC_23894_2023,REQ_6_1_1,INFORMS,Knowledge Layer
STD_ISO_IEC_5259_series,REQ_6_1_1,INFORMS,Knowledge Layer
L1,REQ_6_1_2,CONTAINS,CONTAINS
REQ_6_1_2,MOD_Risk_Engine,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Risk_Engine,AG_Predictive_Risk_Orchestrator,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_6_1_2,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_6_1_2,INFORMS,Knowledge Layer
STD_ISO_DIS_9002,REQ_6_1_2,INFORMS,Knowledge Layer
STD_ISO_10009_2024,REQ_6_1_2,INFORMS,Knowledge Layer
STD_ISO_10017_2021,REQ_6_1_2,INFORMS,Knowledge Layer
STD_ISO_31000_2018,REQ_6_1_2,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_6_1_2,INFORMS,Knowledge Layer
STD_ISO_IEC_42005_2025,REQ_6_1_2,INFORMS,Knowledge Layer
STD_ISO_IEC_23894_2023,REQ_6_1_2,INFORMS,Knowledge Layer
STD_ISO_IEC_5259_series,REQ_6_1_2,INFORMS,Knowledge Layer
L1,REQ_6_1_3,CONTAINS,CONTAINS
REQ_6_1_3,MOD_Risk_Engine,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Risk_Engine,AG_Predictive_Risk_Orchestrator,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_6_1_3,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_6_1_3,INFORMS,Knowledge Layer
STD_ISO_DIS_9002,REQ_6_1_3,INFORMS,Knowledge Layer
STD_ISO_10009_2024,REQ_6_1_3,INFORMS,Knowledge Layer
STD_ISO_10017_2021,REQ_6_1_3,INFORMS,Knowledge Layer
STD_ISO_31000_2018,REQ_6_1_3,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_6_1_3,INFORMS,Knowledge Layer
STD_ISO_IEC_42005_2025,REQ_6_1_3,INFORMS,Knowledge Layer
STD_ISO_IEC_23894_2023,REQ_6_1_3,INFORMS,Knowledge Layer
STD_ISO_IEC_5259_series,REQ_6_1_3,INFORMS,Knowledge Layer
L1,REQ_6_2_1,CONTAINS,CONTAINS
REQ_6_2_1,MOD_Objective_Planner,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Objective_Planner,AG_Objective_Optimization_Agent,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_6_2_1,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_6_2_1,INFORMS,Knowledge Layer
STD_ISO_9004_2018,REQ_6_2_1,INFORMS,Knowledge Layer
STD_ISO_10014_2021,REQ_6_2_1,INFORMS,Knowledge Layer
STD_ISO_10017_2021,REQ_6_2_1,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_6_2_1,INFORMS,Knowledge Layer
L1,REQ_6_2_2,CONTAINS,CONTAINS
REQ_6_2_2,MOD_Objective_Planner,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Objective_Planner,AG_Objective_Optimization_Agent,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_6_2_2,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_6_2_2,INFORMS,Knowledge Layer
STD_ISO_9004_2018,REQ_6_2_2,INFORMS,Knowledge Layer
STD_ISO_10014_2021,REQ_6_2_2,INFORMS,Knowledge Layer
STD_ISO_10017_2021,REQ_6_2_2,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_6_2_2,INFORMS,Knowledge Layer
L1,REQ_6_3,CONTAINS,CONTAINS
REQ_6_3,MOD_Change_Orchestrator,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Change_Orchestrator,AG_Change_Simulation_Agent,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_6_3,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_6_3,INFORMS,Knowledge Layer
STD_ISO_10007_2017,REQ_6_3,INFORMS,Knowledge Layer
STD_ISO_10009_2024,REQ_6_3,INFORMS,Knowledge Layer
STD_ISO_31000_2018,REQ_6_3,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_6_3,INFORMS,Knowledge Layer
STD_ISO_IEC_42005_2025,REQ_6_3,INFORMS,Knowledge Layer
L1,REQ_7_1_1,CONTAINS,CONTAINS
REQ_7_1_1,MOD_Resource_Manager,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Resource_Manager,AG_Resource_Orchestrator,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_7_1_1,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_7_1_1,INFORMS,Knowledge Layer
STD_ISO_9004_2018,REQ_7_1_1,INFORMS,Knowledge Layer
STD_ISO_10012_2026,REQ_7_1_1,INFORMS,Knowledge Layer
STD_ISO_10014_2021,REQ_7_1_1,INFORMS,Knowledge Layer
STD_ISO_10015_2019,REQ_7_1_1,INFORMS,Knowledge Layer
STD_ISO_10017_2021,REQ_7_1_1,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_7_1_1,INFORMS,Knowledge Layer
L1,REQ_7_1_2,CONTAINS,CONTAINS
REQ_7_1_2,MOD_Resource_Manager,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Resource_Manager,AG_Resource_Orchestrator,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_7_1_2,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_7_1_2,INFORMS,Knowledge Layer
STD_ISO_9004_2018,REQ_7_1_2,INFORMS,Knowledge Layer
STD_ISO_10012_2026,REQ_7_1_2,INFORMS,Knowledge Layer
STD_ISO_10014_2021,REQ_7_1_2,INFORMS,Knowledge Layer
STD_ISO_10015_2019,REQ_7_1_2,INFORMS,Knowledge Layer
STD_ISO_10017_2021,REQ_7_1_2,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_7_1_2,INFORMS,Knowledge Layer
L1,REQ_7_1_3,CONTAINS,CONTAINS
REQ_7_1_3,MOD_Resource_Manager,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Resource_Manager,AG_Resource_Orchestrator,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_7_1_3,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_7_1_3,INFORMS,Knowledge Layer
STD_ISO_9004_2018,REQ_7_1_3,INFORMS,Knowledge Layer
STD_ISO_10012_2026,REQ_7_1_3,INFORMS,Knowledge Layer
STD_ISO_10014_2021,REQ_7_1_3,INFORMS,Knowledge Layer
STD_ISO_10015_2019,REQ_7_1_3,INFORMS,Knowledge Layer
STD_ISO_10017_2021,REQ_7_1_3,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_7_1_3,INFORMS,Knowledge Layer
L1,REQ_7_1_4,CONTAINS,CONTAINS
REQ_7_1_4,MOD_Resource_Manager,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Resource_Manager,AG_Resource_Orchestrator,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_7_1_4,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_7_1_4,INFORMS,Knowledge Layer
STD_ISO_9004_2018,REQ_7_1_4,INFORMS,Knowledge Layer
STD_ISO_10012_2026,REQ_7_1_4,INFORMS,Knowledge Layer
STD_ISO_10014_2021,REQ_7_1_4,INFORMS,Knowledge Layer
STD_ISO_10015_2019,REQ_7_1_4,INFORMS,Knowledge Layer
STD_ISO_10017_2021,REQ_7_1_4,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_7_1_4,INFORMS,Knowledge Layer
L1,REQ_7_1_5_1,CONTAINS,CONTAINS
REQ_7_1_5_1,MOD_Resource_Manager,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Resource_Manager,AG_Resource_Orchestrator,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_7_1_5_1,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_7_1_5_1,INFORMS,Knowledge Layer
STD_ISO_9004_2018,REQ_7_1_5_1,INFORMS,Knowledge Layer
STD_ISO_10012_2026,REQ_7_1_5_1,INFORMS,Knowledge Layer
STD_ISO_10014_2021,REQ_7_1_5_1,INFORMS,Knowledge Layer
STD_ISO_10015_2019,REQ_7_1_5_1,INFORMS,Knowledge Layer
STD_ISO_10017_2021,REQ_7_1_5_1,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_7_1_5_1,INFORMS,Knowledge Layer
L1,REQ_7_1_5_2,CONTAINS,CONTAINS
REQ_7_1_5_2,MOD_Resource_Manager,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Resource_Manager,AG_Resource_Orchestrator,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_7_1_5_2,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_7_1_5_2,INFORMS,Knowledge Layer
STD_ISO_9004_2018,REQ_7_1_5_2,INFORMS,Knowledge Layer
STD_ISO_10012_2026,REQ_7_1_5_2,INFORMS,Knowledge Layer
STD_ISO_10014_2021,REQ_7_1_5_2,INFORMS,Knowledge Layer
STD_ISO_10015_2019,REQ_7_1_5_2,INFORMS,Knowledge Layer
STD_ISO_10017_2021,REQ_7_1_5_2,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_7_1_5_2,INFORMS,Knowledge Layer
L1,REQ_7_1_6,CONTAINS,CONTAINS
REQ_7_1_6,MOD_Resource_Manager,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Resource_Manager,AG_Resource_Orchestrator,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_7_1_6,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_7_1_6,INFORMS,Knowledge Layer
STD_ISO_9004_2018,REQ_7_1_6,INFORMS,Knowledge Layer
STD_ISO_10012_2026,REQ_7_1_6,INFORMS,Knowledge Layer
STD_ISO_10014_2021,REQ_7_1_6,INFORMS,Knowledge Layer
STD_ISO_10015_2019,REQ_7_1_6,INFORMS,Knowledge Layer
STD_ISO_10017_2021,REQ_7_1_6,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_7_1_6,INFORMS,Knowledge Layer
L1,REQ_7_2,CONTAINS,CONTAINS
REQ_7_2,MOD_Competence_Evaluator,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Competence_Evaluator,AG_Competence_Intelligence_Agent,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_7_2,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_7_2,INFORMS,Knowledge Layer
STD_ISO_10010_2022,REQ_7_2,INFORMS,Knowledge Layer
STD_ISO_10015_2019,REQ_7_2,INFORMS,Knowledge Layer
STD_ISO_10018_2020,REQ_7_2,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_7_2,INFORMS,Knowledge Layer
L1,REQ_7_3,CONTAINS,CONTAINS
REQ_7_3,MOD_Awareness_Tracker,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Awareness_Tracker,AG_Awareness_Culture_Agent,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_7_3,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_7_3,INFORMS,Knowledge Layer
STD_ISO_10010_2022,REQ_7_3,INFORMS,Knowledge Layer
STD_ISO_10018_2020,REQ_7_3,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_7_3,INFORMS,Knowledge Layer
L1,REQ_7_4,CONTAINS,CONTAINS
REQ_7_4,MOD_Communication_Hub,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Communication_Hub,AG_Communication_Intelligence_Agent,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_7_4,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_7_4,INFORMS,Knowledge Layer
STD_ISO_10001_2018,REQ_7_4,INFORMS,Knowledge Layer
STD_ISO_10002_2018,REQ_7_4,INFORMS,Knowledge Layer
STD_ISO_10018_2020,REQ_7_4,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_7_4,INFORMS,Knowledge Layer
L1,REQ_7_5_1,CONTAINS,CONTAINS
REQ_7_5_1,MOD_Document_Controller,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Document_Controller,AG_Document_Intelligence_Agent,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_7_5_1,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_7_5_1,INFORMS,Knowledge Layer
STD_ISO_10007_2017,REQ_7_5_1,INFORMS,Knowledge Layer
STD_ISO_10013_2021,REQ_7_5_1,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_7_5_1,INFORMS,Knowledge Layer
STD_ISO_IEC_27001_2022,REQ_7_5_1,INFORMS,Knowledge Layer
STD_ISO_IEC_27701_2025,REQ_7_5_1,INFORMS,Knowledge Layer
L1,REQ_7_5_2,CONTAINS,CONTAINS
REQ_7_5_2,MOD_Document_Controller,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Document_Controller,AG_Document_Intelligence_Agent,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_7_5_2,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_7_5_2,INFORMS,Knowledge Layer
STD_ISO_10007_2017,REQ_7_5_2,INFORMS,Knowledge Layer
STD_ISO_10013_2021,REQ_7_5_2,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_7_5_2,INFORMS,Knowledge Layer
STD_ISO_IEC_27001_2022,REQ_7_5_2,INFORMS,Knowledge Layer
STD_ISO_IEC_27701_2025,REQ_7_5_2,INFORMS,Knowledge Layer
L1,REQ_7_5_3,CONTAINS,CONTAINS
REQ_7_5_3,MOD_Document_Controller,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Document_Controller,AG_Document_Intelligence_Agent,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_7_5_3,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_7_5_3,INFORMS,Knowledge Layer
STD_ISO_10007_2017,REQ_7_5_3,INFORMS,Knowledge Layer
STD_ISO_10013_2021,REQ_7_5_3,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_7_5_3,INFORMS,Knowledge Layer
STD_ISO_IEC_27001_2022,REQ_7_5_3,INFORMS,Knowledge Layer
STD_ISO_IEC_27701_2025,REQ_7_5_3,INFORMS,Knowledge Layer
L1,REQ_8_1,CONTAINS,CONTAINS
REQ_8_1,MOD_Operational_Planner,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Operational_Planner,AG_Operations_Orchestrator,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_8_1,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_8_1,INFORMS,Knowledge Layer
STD_ISO_10005_2018,REQ_8_1,INFORMS,Knowledge Layer
STD_ISO_10006_2017,REQ_8_1,INFORMS,Knowledge Layer
STD_ISO_10007_2017,REQ_8_1,INFORMS,Knowledge Layer
